
position,career_WS
Shooting Guard,26.9
Small Forward,27.1
Center,27.2
Power Forward,27.6
Center,27.6
Center,27.7
Point Guard,27.8
Shooting Guard,27.9
Center,27.9
Point Guard,28.2
Center,28.3
Power Forward,28.7
Point Guard,29.1
Small Forward,29.1
Center,29.2
Power Forward,29.3
Center,29.4
Shooting Guard,29.5
Point Guard,29.9
Center,30.1
Center,30.3
Point Guard,30.4
Center,30.4
Center,30.5
Center,30.7
Shooting Guard,30.7
Point Guard,30.9
Center,31
Power Forward,31.2
Center,31.4
Center,31.9
Point Guard,32.2
Point Guard,32.6
Center,32.7
Point Guard,32.8
Shooting Guard,32.9
Point Guard,33
Shooting Guard,33.3
Power Forward,33.3
Center,33.6
Power Forward,33.6
Center,33.8
Small Forward,33.9
Power Forward,34.1
Center,34.3
Shooting Guard,34.3
Shooting Guard,34.6
Center,34.7
Center,35
Center,35.6
Small Forward,35.8
Power Forward,35.8
Point Guard,35.9
Center,35.9
Center,35.9
Point Guard,36
Power Forward,36
Shooting Guard,36.3
Point Guard,36.3
Shooting Guard,36.4
Point Guard,37
Small Forward,37.1
Shooting Guard,37.2
Point Guard,37.2
Center,37.3
Center,37.3
Center,37.4
Shooting Guard,37.4
Center,37.8
Center,38
Shooting Guard,38
Small Forward,38
Power Forward,38.1
Point Guard,38.5
Shooting Guard,38.6
Center,38.7
Shooting Guard,38.7
Center,39.3
Center,39.6
Center,39.6
Small Forward,39.8
Center,39.9
Center,40.7
Center,40.9
Shooting Guard,41.5
Center,41.7
Point Guard,41.9
Point Guard,42
Point Guard,42.1
Power Forward,42.4
Center,42.5
Center,43
Small Forward,43.7
Center,43.8
Center,44.1
Power Forward,44.2
Point Guard,44.3
Small Forward,44.4
Small Forward,44.7
Shooting Guard,44.8
Point Guard,45
Center,45.3
Center,45.4
Power Forward,45.7
Small Forward,46
Center,46.4
Power Forward,46.4
Power Forward,46.7
Shooting Guard,46.7
Center,46.8
Point Guard,46.8
Shooting Guard,46.8
Point Guard,47.2
Center,47.5
Point Guard,47.6
Shooting Guard,48.2
Point Guard,48.3
Point Guard,48.3
Small Forward,48.5
Point Guard,48.5
Power Forward,49.8
Point Guard,49.9
Small Forward,50.2
Power Forward,50.3
Center,50.9
Point Guard,50.9
Center,51.3
Small Forward,51.7
Point Guard,52
Shooting Guard,52.1
Center,52.7
Center,52.8
Small Forward,53
Small Forward,53.3
Point Guard,53.6
Small Forward,53.7
Small Forward,54
Point Guard,54
Point Guard,54
Shooting Guard,54.2
Power Forward,55.1
Shooting Guard,55.3
Point Guard,55.4
Small Forward,55.7
Center,55.9
Center,56.4
Center,56.6
Power Forward,58
Point Guard,58.4
Point Guard,58.4
Center,58.5
Small Forward,58.5
Small Forward,59.3
Power Forward,59.7
Point Guard,59.9
Center,60.1
Shooting Guard,60.3
Small Forward,61.1
Center,61.8
Small Forward,61.8
Center,61.8
Point Guard,62.5
Shooting Guard,62.8
Point Guard,63.1
Small Forward,63.1
Center,63.9
Center,64.8
Center,65.2
Small Forward,65.8
Point Guard,65.9
Center,65.9
Center,66.3
Small Forward,67.8
Shooting Guard,68.7
Point Guard,70.3
Center,70.6
Point Guard,71.4
Point Guard,71.8
Center,72.8
